id,part,page,system,bar_slot,role,pitch,german_pitch,midi,recommended_slide_position,slide_positions,clef,key_fifths,omr_explicit_alter,status,x,y
p07-s04-h2175,2,7,4,1,play,Ab3,Ab3,56,3,"[3, 7]",ALTO,1,-1,visually_checked,0.2482456140350877,0.36543078154174446
p07-s04-h2183,2,7,4,2,play,A3,A3,57,2,"[2, 6]",ALTO,1,0,visually_checked,0.31350877192982457,0.36543078154174446
p07-s04-h2187,2,7,4,2,play,A3,A3,57,2,"[2, 6]",ALTO,1,,visually_checked,0.35526315789473684,0.36543078154174446
p07-s04-h2161,2,7,4,3,play,Bb3,Bb3,58,1,"[1, 5]",ALTO,1,-1,visually_checked,0.3949122807017544,0.3627634035742865
p07-s04-h2199,2,7,4,3,play,G3,G3,55,4,[4],ALTO,1,,visually_checked,0.43526315789473685,0.36889837289943983
p07-s04-h2191,2,7,4,3,play,A3,A3,57,2,"[2, 6]",ALTO,1,,visually_checked,0.47421052631578947,0.36596425713523606
p07-s04-h2225,2,7,4,4,play,Bb3,Bb3,58,1,"[1, 5]",ALTO,1,-1,visually_checked,0.5175438596491229,0.3630301413710323
p07-s04-h2232,2,7,4,5,play,A3,A3,57,2,"[2, 6]",ALTO,1,,visually_checked,0.5608771929824561,0.36596425713523606
p07-s04-h2165,2,7,4,5,play,B3,H3,59,4,"[4, 7]",ALTO,1,,visually_checked,0.5952631578947368,0.3632968791677781
p07-s04-h2215,2,7,4,5,play,C4,C4,60,3,"[3, 6]",ALTO,1,,visually_checked,0.6268421052631579,0.36036276340357426
p07-s04-h2223,2,7,4,6,play,B3,H3,59,4,"[4, 7]",ALTO,1,0,visually_checked,0.6789473684210526,0.3635636169645239
p07-s04-h2221,2,7,4,7,play,B3,H3,59,4,"[4, 7]",ALTO,1,,visually_checked,0.7343859649122807,0.3635636169645239
p07-s04-h2169,2,7,4,8,play,B3,H3,59,4,"[4, 7]",ALTO,1,,visually_checked,0.781578947368421,0.3635636169645239
p07-s05-h2334,2,7,5,1,play,D3,D3,50,4,[4],ALTO,1,,visually_checked,0.2319298245614035,0.46812483328887705
p07-s05-h2336,2,7,5,3,play,D3,D3,50,4,[4],ALTO,1,,visually_checked,0.3291228070175439,0.46812483328887705
p07-s05-h2321,2,7,5,5,play,F3,F3,53,1,"[1, 6]",ALTO,1,,visually_checked,0.4256140350877193,0.46252333955721525
p07-s06-h2450,2,7,6,1,play,G3,G3,55,4,[4],ALTO,1,,visually_checked,0.2787719298245614,0.5294745265404108
p07-s06-h2468,2,7,6,1,play,D3,D3,50,4,[4],ALTO,1,,visually_checked,0.32052631578947366,0.5377433982395305
p07-s06-h2426,2,7,6,2,play,A3,A3,57,2,"[2, 6]",ALTO,1,,visually_checked,0.3780701754385965,0.526540410776207
p07-s06-h2458,2,7,6,2,play,E3,E3,52,2,"[2, 7]",ALTO,1,,visually_checked,0.41842105263157897,0.5361429714590558
p07-s06-h2414,2,7,6,3,play,B3,H3,59,4,"[4, 7]",ALTO,1,,visually_checked,0.47842105263157897,0.523873032808749
p07-s06-h2430,2,7,6,3,play,A3,A3,57,2,"[2, 6]",ALTO,1,,visually_checked,0.4980701754385965,0.5268071485729527
p07-s06-h2388,2,7,6,3,play,C4,C4,60,3,"[3, 6]",ALTO,1,,visually_checked,0.5250877192982456,0.5209389170445452
p07-s06-h2418,2,7,6,3,play,B3,H3,59,4,"[4, 7]",ALTO,1,,visually_checked,0.5468421052631579,0.523873032808749
p07-s06-h2356,2,7,6,4,play,E4,E4,64,2,"[2, 5, 7]",ALTO,1,,visually_checked,0.5847368421052631,0.5145372099226461
p07-s06-h2392,2,7,6,4,play,C4,C4,60,3,"[3, 6]",ALTO,1,,visually_checked,0.6043859649122807,0.5206721792477994
p07-s06-h2436,2,7,6,4,play,A3,A3,57,2,"[2, 6]",ALTO,1,,visually_checked,0.6257894736842106,0.5270738863696985
p07-s06-h2368,2,7,6,4,play,D4,D4,62,1,"[1, 4, 7]",ALTO,1,,visually_checked,0.6521052631578947,0.5180048012803414
p07-s06-h2360,2,7,6,5,play,E4,E4,64,2,"[2, 5, 7]",ALTO,1,,visually_checked,0.6875438596491228,0.5148039477193919
p07-s06-h2374,2,7,6,5,play,D4,D4,62,1,"[1, 4, 7]",ALTO,1,,visually_checked,0.7085964912280702,0.5182715390770872
p07-s06-h2400,2,7,6,5,play,C4,C4,60,3,"[3, 6]",ALTO,1,,visually_checked,0.7236842105263158,0.521205654841291
p07-s06-h2422,2,7,6,5,play,B3,H3,59,4,"[4, 7]",ALTO,1,,visually_checked,0.7370175438596491,0.5241397706054948
p07-s06-h2440,2,7,6,5,play,A3,A3,57,2,"[2, 6]",ALTO,1,,visually_checked,0.7521052631578947,0.5276073619631901
p07-s06-h2378,2,7,6,5,play,D4,D4,62,1,"[1, 4, 7]",ALTO,1,,visually_checked,0.7731578947368422,0.5182715390770872
p07-s06-h2364,2,7,6,6,play,E4,E4,64,2,"[2, 5, 7]",ALTO,1,,visually_checked,0.8085964912280702,0.5150706855161377
p07-s06-h2406,2,7,6,6,play,C4,C4,60,3,"[3, 6]",ALTO,1,,visually_checked,0.8289473684210527,0.5214723926380368
p07-s06-h2446,2,7,6,6,play,A3,A3,57,2,"[2, 6]",ALTO,1,,visually_checked,0.846140350877193,0.5276073619631901
p07-s06-h2382,2,7,6,6,play,D4,D4,62,1,"[1, 4, 7]",ALTO,1,,visually_checked,0.8721052631578947,0.5182715390770872
p07-s07-h2503,2,7,7,1,play,E4,E4,64,2,"[2, 5, 7]",ALTO,1,,visually_checked,0.16824561403508773,0.5833555614830621
